id,name,acronym
5,Banco Central do Brasil,BACEN
9,Ministério da Economia,ME
7,Ministério da Saúde,MS
8,Instituto Nacional de Pesquisas Espaciais,INPE
4,Instituto de Pesquisa Econômica Aplicada,IPEA
12,Câmara dos Deputados,CD
10,Portal Nacional de Contratações Públicas - PNCP,CGRNCP
13,Controladoria-Geral da União,CGU
11,Ministério da Cultura,MinC
14,Senado Federal,SF
6,Ministerio da Fazenda,MF
2,IBGE - Instituto Brasileiro de Geografia e Estatística,IBGE
3,Agência Nacional de Saúde,ANS
1,CADPREV - Sistema de Informações dos Regimes Públicos de Previdência Social,CADPREV
