id,name,type,formart,description
277,$format,texto,,Tipo de conteúdo que será retornado
278,$select,texto,,Propriedades que serão retornadas
279,$filter,texto,,Filtro de seleção de entidades. e.g. Nome eq João. Clique aqui para as opções de operadores e funções.
280,$orderby,texto,,"Propriedades para ordenação das entidades. e.g. Nome asc, Idade desc"
281,$skip,inteiro,,Índice (maior ou igual a zero) da primeira entidade que será retornada
282,$top,inteiro,,Número máximo (maior que zero) de entidades que serão retornadas
283,dataBase,texto,MM-DD-YYYY,"Data base, no formato MM-DD-YYYY"
284,dataCotacao,texto,MM-DD-AAAA,Data da cotação - informar no padrão MM-DD-AAAA
285,dataInicial,texto,MM-DD-AAAA,Data de início do período de cotação - informar no padrão MM-DD-AAAA
286,dataFinalCotacao,texto,MM-DD-AAAA,Data de fim do período de cotação - informar no padrão MM-DD-AAAA
287,moeda,texto,MMM: Três letras,Código texto da moeda cujas cotações e paridades serão consultadas. Formato - MMM: Três letras. Exemplo: EUR. As moedas que estão disponíveis podem ser consultadas no recurso Moedas deste mesmo conjunto de dados.
288,codigoMoeda,texto,MMM: Três letras,Código texto da moeda cujas cotações e paridades serão consultadas. Formato - MMM: Três letras. Exemplo: EUR. As moedas que estão disponíveis podem ser consultadas no recurso Moedas deste mesmo conjunto de dados.
289,dataInicialCotacao,texto,MM-DD-AAAA,Data de início do período de cotação - informar no padrão MM-DD-AAAA
290,trimestre,texto,AAAAT,Os dados serão trazidos a partir do trimestre fornecido como parâmetro no formato AAAAT.
291,data,texto,MM-DD-YYYY,"Data, no formato MM-DD-YYYY"
292,Data,texto,AAAA-MM-DD,"Data das operações registradas no Selic, no formato AAAA-MM-DD"
293,Ano,texto,AAAA,"Ano de registro da operações no Selic, no formato AAAA"
294,AnoMes,inteiro,AAAAMM,Ano-Mês de referência em formato AAAAMM
295,TipoInstituicao,inteiro,,"1 - Conglomerados Prudenciais e Instituições Independentes, 2 - Conglomerados Financeiros e Instituições Independentes, 3 - Instituições Individuais, 4 - Instituições com Operações de Câmbio"
296,Relatorio,texto,,Número do relatório conforme a lista de relatórios disponíveis ou T para todos
297,idIndicadorPar,inteiro,,Parâmetro opcional identificador do indicador. Valores válidos: números inteiros.
298,situacaoIndicadorPar,inteiro,,Parâmetro opcional situação do indicador. Valores válidos: informe 3 para ATIVO ou 4 para ENCERRADO.
299,anoBaseMetaPar,inteiro,,Parâmetro opcional ano base da meta. Valores válidos: ano com 4 dígitos.
300,Data_inicial,texto,,Data Inical
301,Data_final,texto,,Data Final
302,Data Base,texto,YYYY-MM,"Data base para obtenção das informações, no formato YYYY-MM. Se não informada, é usado o mês atual."
303,MesInicial,inteiro,,Mês inicial para consolidação das operações
304,AnoInicial,inteiro,,Ano inicial para consolidação das operações
305,MesFinal,inteiro,,Mês final para consolidação das operações
306,AnoFinal,inteiro,,Ano final para consolidação das operações
307,DataInicial,texto,,
308,DataFinal,texto,,
309,mes,inteiro,,Mês de ocorrência
